Label,TagSet,AssetType,Asset,AssetParent,City,Building,Wing,Floor,Room,Zone
421_U20_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U20_FCU_FAULT,FCU_Fault_Sensor,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U20_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U20_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U20_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U21_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_FCU_FAULT,FCU_Fault_Sensor,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U21_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U21,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U21,NA
421_U22_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_FCU_FAULT,FCU_Fault_Sensor,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U22_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U22,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U22,NA
421_U23_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_FCU_FAULT,FCU_Fault_Sensor,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U23_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U23,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U23,NA
421_U2_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
