"tag","ANY1","ANY2","CMU GHC","HAY","IBM","SDU","UCB SDH","UCB SODA","UCSD","UVA","TOTAL"
"illumination",0,6,0,0,348,0,0,0,0,0,354
"in",0,1,0,0,9,57,8,0,8,0,83
"incoming",0,1,0,0,1,0,1,0,0,0,3
"indicator",0,0,0,0,0,1,1,1,12,0,15
"indoor",0,0,0,0,0,30,0,0,0,0,30
"inlet",0,0,0,0,0,2,0,0,0,0,2
"input",0,0,0,0,0,0,0,0,2,0,2
"instant",1,0,0,0,0,0,0,0,0,0,1
"instantations",0,6,0,0,11,0,6,0,0,0,23
"integration",0,0,0,0,0,0,0,0,1,0,1
"internal",0,0,0,0,0,0,14,14,0,0,28
"inverter",0,0,0,0,0,0,0,0,4,0,4
"iso",0,0,0,0,0,0,0,0,2,0,2
"isolation",0,4,0,2,0,0,0,0,0,0,6
"lag",1,0,0,0,0,0,4,4,3,0,12
"last",0,0,0,0,0,0,0,0,2,0,2
"lead",1,0,0,0,0,0,4,4,3,0,12
"leak",0,0,0,0,0,0,0,0,2,0,2
"leave",0,0,0,0,0,0,0,0,0,1,1
"leaving",0,26,0,17,0,0,1,1,0,0,45
"level",3,0,0,0,0,124,0,0,8,0,135
"light",0,10,0,0,111,0,0,0,0,0,121
"lighting",0,1,0,0,0,0,252,0,0,0,253
"lightlevel",0,0,0,0,0,0,64,0,0,0,64
"lights",0,0,0,0,0,0,146,0,0,0,146
"limit",2,0,0,0,0,0,0,0,16,0,18
"line",0,3,0,0,6,0,6,0,0,0,15
"liquid",0,0,0,0,0,0,0,0,4,0,4
"load",0,25,0,2,330,0,330,1,11,0,699
"local",0,0,0,0,0,0,0,0,8,0,8
"locally",0,0,0,0,0,0,0,0,4,0,4
"lock",0,0,0,0,0,0,0,0,12,0,12
"lockout",1,0,0,0,0,0,0,0,0,0,1
"loop",0,58,0,0,147,0,405,395,0,0,1005
"loss",0,0,0,0,0,0,0,0,20,0,20
"low",10,0,0,0,0,0,13,13,24,0,60
"lphw",0,3,0,0,5,0,0,0,0,0,8
"lux",0,1,0,0,2,0,0,0,0,0,3
"main",0,1,0,0,6,0,0,0,6,0,13
"maintenance",0,0,0,0,0,0,0,0,4,0,4
"makeup",0,1,0,0,0,0,0,0,0,0,1
"manual",0,0,0,0,0,0,0,0,4,0,4
"max",0,0,629,2,0,0,7,7,0,0,645
"maximum",0,7,0,0,19,0,0,0,237,0,263
"maxval",0,0,0,0,0,0,9,0,0,0,9
"meanradianttemperature",0,3,0,0,0,0,0,0,0,0,3
"mech",1,0,0,0,0,0,0,0,0,0,1
"mechanical",1,0,0,0,0,0,0,0,0,0,1
"mens",2,0,0,0,0,0,0,0,0,0,2
"meter",0,120,43,0,595,0,417,6,0,0,1181
"min",1,0,481,1,0,0,5,5,0,0,493
"minimum",1,4,0,0,26,0,0,0,458,0,489
"mixed",7,3,0,1,1,0,8,8,1,5,34
"mode",18,2,0,0,3,57,1,0,6,0,87
"motor",0,0,0,0,0,0,0,0,8,0,8
"mtw-dp",0,0,0,0,0,0,0,0,1,0,1
"mtw-t",0,0,0,0,0,0,0,0,2,0,2
"mtwdp-sp",0,0,0,0,0,0,0,0,1,0,1
"mtwt-sp",0,0,0,0,0,0,0,0,2,0,2
"na",0,0,0,0,0,0,19,0,0,0,19
"night",4,0,0,0,0,114,1,1,0,0,120
"nighttime",0,0,0,0,0,0,1,1,0,0,2
"no",0,0,0,0,0,0,0,0,4,0,4
"number",0,1,0,0,6,0,0,0,0,0,7
"occ",0,0,0,2,0,0,0,0,0,0,2
"occupancy",9,1,304,0,32,0,4,4,304,25,683
"occupied",10,2,0,0,0,0,156,0,457,0,625
"of",0,0,0,0,0,0,0,0,21,0,21
"off",0,2,0,0,4,0,225,225,9,0,465
"oil",0,1,0,0,0,0,0,0,0,0,1
"on",0,0,0,0,0,0,1,1,16,0,18
"on-off",0,0,0,0,0,0,0,0,20,0,20
"open",0,4,0,0,2,0,1,0,0,0,7
"openness",0,0,0,0,0,111,0,0,0,0,111
"operation",0,0,0,0,0,0,0,0,0,59,59
"osa",0,0,0,0,0,0,0,0,6,0,6
"out",0,1,0,0,9,0,8,0,0,0,18
"outdoor",23,0,0,0,0,0,0,0,0,0,23
