Note,Contains haystack tags and custom tags
EBU3B.RM-1133..DMPR-POS,discharge air damper sensor
EBU3B.RM-1133..HTGPID-O,zone heating cmd
EBU3B.RM-1133..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1133..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1133..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1133..OCC-CMD,zone occupied cmd
EBU3B.RM-1133..RH-VLV,reheat valve cmd
EBU3B.RM-1133..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1133..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1133..COMMONSP,zone air temp sp
EBU3B.RM-1133..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1133..ZN-T,zone air temp sensor
EBU3B.RM-1134..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1134..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1134..CLGPID-O,zone cooling cmd
EBU3B.RM-1134..DPR-C,discharge air damper cmd
EBU3B.RM-1134..DMPR-POS,discharge air damper sensor
EBU3B.RM-1134..HTGPID-O,zone heating cmd
EBU3B.RM-1134..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1134..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1134..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1134..OCC-CMD,zone occupied cmd
EBU3B.RM-1134..RH-VLV,reheat valve cmd
EBU3B.RM-1134..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1134..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1134..COMMONSP,zone air temp sp
EBU3B.RM-1134..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1134..ZN-T,zone air temp sensor
EBU3B.RM-1139..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1139..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1139..CLGPID-O,zone cooling cmd
EBU3B.RM-1139..DPR-C,discharge air damper cmd
EBU3B.RM-1139..DMPR-POS,discharge air damper sensor
EBU3B.RM-1139..HTGPID-O,zone heating cmd
EBU3B.RM-1139..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1139..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1139..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1139..OCC-CMD,zone occupied cmd
EBU3B.RM-1139..RH-VLV,reheat valve cmd
EBU3B.RM-1139..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1139..SUPFLO-SP,discharge air flow sp
