Note,Contains haystack tags and custom tags
EBU3B.RM-4146..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4146..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4146..OCC-CMD,zone occupied cmd
EBU3B.RM-4146..RH-VLV,reheat valve cmd
EBU3B.RM-4146..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4146..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4146..COMMONSP,zone air temp sp
EBU3B.RM-4146..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4146..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4146..ZN-T,zone air temp sensor
EBU3B.RM-4148..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4148..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4148..CLGPID-O,zone cooling cmd
EBU3B.RM-4148..DPR-C,discharge air damper cmd
EBU3B.RM-4148..DMPR-POS,discharge air damper sensor
EBU3B.RM-4148..HTGPID-O,zone heating cmd
EBU3B.RM-4148..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4148..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4148..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4148..OCC-CMD,zone occupied cmd
EBU3B.RM-4148..RH-VLV,reheat valve cmd
EBU3B.RM-4148..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4148..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4148..COMMONSP,zone air temp sp
EBU3B.RM-4148..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4148..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4148..ZN-T,zone air temp sensor
EBU3B.RM-4150..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4150..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4150..CLGPID-O,zone cooling cmd
EBU3B.RM-4150..DPR-C,discharge air damper cmd
EBU3B.RM-4150..DMPR-POS,discharge air damper sensor
EBU3B.RM-4150..HTGPID-O,zone heating cmd
EBU3B.RM-4150..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4150..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4150..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4150..OCC-CMD,zone occupied cmd
EBU3B.RM-4150..RH-VLV,reheat valve cmd
EBU3B.RM-4150..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4150..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4150..COMMONSP,zone air temp sp
EBU3B.RM-4150..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4150..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4150..ZN-T,zone air temp sensor
EBU3B.RM-4152..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4152..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4152..CLGPID-O,zone cooling cmd
EBU3B.RM-4152..DPR-C,discharge air damper cmd
EBU3B.RM-4152..DMPR-POS,discharge air damper sensor
EBU3B.RM-4152..HTGPID-O,zone heating cmd
EBU3B.RM-4152..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4152..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4152..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4152..OCC-CMD,zone occupied cmd
EBU3B.RM-4152..RH-VLV,reheat valve cmd
EBU3B.RM-4152..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4152..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4152..COMMONSP,zone air temp sp
EBU3B.RM-4152..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4152..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4152..ZN-T,zone air temp sensor
EBU3B.RM-4154..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4154..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4154..CLGPID-O,zone cooling cmd
EBU3B.RM-4154..DPR-C,discharge air damper cmd
EBU3B.RM-2127..DPR-C,discharge air damper cmd
EBU3B.RM-4154.DMPR-POS,discharge air damper sensor
EBU3B.RM-4154..FAN-C,discharge air fan cmd
EBU3B.RM-4154..HTGPID-O,zone heating cmd
EBU3B.RM-4154..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4154..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4154..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4154..OCC-CMD,zone occupied cmd
EBU3B.RM-4154..RH-VLV,reheat valve cmd
EBU3B.RM-4154..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4154..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4154..COMMONSP,zone air temp sp
EBU3B.RM-4154..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4154..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4154..ZN-T,zone air temp sensor
EBU3B.RM-4200A..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4200A..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4200A..CLGPID-O,zone cooling cmd
EBU3B.RM-4200A..DPR-C,discharge air damper cmd
EBU3B.RM-4200A..DMPR-POS,discharge air damper sensor
EBU3B.RM-4200A..HTGPID-O,zone heating cmd
EBU3B.RM-4200A..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4200A..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4200A..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4200A..OCC-CMD,zone occupied cmd
EBU3B.RM-4200A..RH-VLV,reheat valve cmd
EBU3B.RM-4200A..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4200A..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4200A..COMMONSP,zone air temp sp
EBU3B.RM-4200A..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4200A..ZN-T,zone air temp sensor
EBU3B.RM-4202..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4202..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4202..CLGPID-O,zone cooling cmd
EBU3B.RM-4202..DPR-C,discharge air damper cmd
EBU3B.RM-4202..DMPR-POS,discharge air damper sensor
EBU3B.RM-4202..HTGPID-O,zone heating cmd
EBU3B.RM-4202..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4202..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4202..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4202..OCC-CMD,zone occupied cmd
EBU3B.RM-4202..RH-VLV,reheat valve cmd
EBU3B.RM-4202..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4202..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4202..COMMONSP,zone air temp sp
EBU3B.RM-4202..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4202..ZN-T,zone air temp sensor
EBU3B.RM-4203..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4203..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4203..CLGPID-O,zone cooling cmd
EBU3B.RM-4203..DPR-C,discharge air damper cmd
EBU3B.RM-4203..DMPR-POS,discharge air damper sensor
EBU3B.RM-4203..HTGPID-O,zone heating cmd
EBU3B.RM-4203..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4203..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4203..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4203..OCC-CMD,zone occupied cmd
EBU3B.RM-4203..RH-VLV,reheat valve cmd
EBU3B.RM-4203..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4203..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4203..COMMONSP,zone air temp sp
EBU3B.RM-4203..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4203..ZN-T,zone air temp sensor
EBU3B.RM-4205..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4205..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4205..CLGPID-O,zone cooling cmd
EBU3B.RM-4205..DPR-C,discharge air damper cmd
EBU3B.RM-4205..DMPR-POS,discharge air damper sensor
EBU3B.RM-4205..HTGPID-O,zone heating cmd
EBU3B.RM-4205..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4205..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4205..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4205..OCC-CMD,zone occupied cmd
EBU3B.RM-4205..RH-VLV,reheat valve cmd
EBU3B.RM-4205..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4205..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4205..COMMONSP,zone air temp sp
EBU3B.RM-4205..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4205..ZN-T,zone air temp sensor
EBU3B.RM-4207..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4207..CLGPID-O,zone cooling cmd
EBU3B.RM-4207..DPR-C,discharge air damper cmd
EBU3B.RM-4207..DMPR-POS,discharge air damper sensor
EBU3B.RM-4207..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4207..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4207..OCC-CMD,zone occupied cmd
EBU3B.RM-4207..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4207..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4207..COMMONSP,zone air temp sp
EBU3B.RM-4207..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4207..ZN-T,zone air temp sensor
EBU3B.RM-4208..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4208..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4208..CLGPID-O,zone cooling cmd
EBU3B.RM-4208..DPR-C,discharge air damper cmd
EBU3B.RM-4208..DMPR-POS,discharge air damper sensor
EBU3B.RM-4208..HTGPID-O,zone heating cmd
EBU3B.RM-4208..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4208..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4208..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4208..OCC-CMD,zone occupied cmd
EBU3B.RM-4208..RH-VLV,reheat valve cmd
EBU3B.RM-4208..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4208..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4208..COMMONSP,zone air temp sp
EBU3B.RM-4208..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4208..ZN-T,zone air temp sensor
EBU3B.RM-4213..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4213..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4213..CLGPID-O,zone cooling cmd
EBU3B.RM-4213..DPR-C,discharge air damper cmd
EBU3B.RM-4213..DMPR-POS,discharge air damper sensor
EBU3B.RM-4213..FAN-C,discharge air fan cmd
EBU3B.RM-4213..HTGPID-O,zone heating cmd
EBU3B.RM-4213..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4213..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4213..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4213..OCC-CMD,zone occupied cmd
EBU3B.RM-4213..RH-VLV,reheat valve cmd
EBU3B.RM-4213..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4213..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4213..COMMONSP,zone air temp sp
EBU3B.RM-4213..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4213..ZN-T,zone air temp sensor
EBU3B.RM-4214..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4214..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4214..CLGPID-O,zone cooling cmd
EBU3B.RM-4214..DPR-C,discharge air damper cmd
EBU3B.RM-4214..DMPR-POS,discharge air damper sensor
EBU3B.RM-4214..HTGPID-O,zone heating cmd
EBU3B.RM-4214..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4214..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4214..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4214..OCC-CMD,zone occupied cmd
EBU3B.RM-4214..RH-VLV,reheat valve cmd
EBU3B.RM-4214..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4214..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4214..COMMONSP,zone air temp sp
EBU3B.RM-4214..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4214..ZN-T,zone air temp sensor
EBU3B.RM-4215..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4215..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4215..CLGPID-O,zone cooling cmd
EBU3B.RM-4215..DPR-C,discharge air damper cmd
EBU3B.RM-4215..DMPR-POS,discharge air damper sensor
EBU3B.RM-4215..EF5-C,exhaust air fan cmd
EBU3B.RM-4215..EF5-S,exhaust air fan sensor
EBU3B.RM-4215..HTGPID-O,zone heating cmd
EBU3B.RM-4215..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4215..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4215..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4215..OCC-CMD,zone occupied cmd
EBU3B.RM-4215..RH-VLV,reheat valve cmd
EBU3B.RM-4215..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4215..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4215..COMMONSP,zone air temp sp
EBU3B.RM-4215..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4215..ZN-T,zone air temp sensor
EBU3B.RM-4217..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4217..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4217..CLGPID-O,zone cooling cmd
EBU3B.RM-4217..DPR-C,discharge air damper cmd
EBU3B.RM-4217..DMPR-POS,discharge air damper sensor
EBU3B.RM-4217..HTGPID-O,zone heating cmd
EBU3B.RM-4217..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4217..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4217..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4217..OCC-CMD,zone occupied cmd
EBU3B.RM-4217..RH-VLV,reheat valve cmd
EBU3B.RM-4217..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4217..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4217..COMMONSP,zone air temp sp
EBU3B.RM-4217..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4217..ZN-T,zone air temp sensor
EBU3B.RM-4219..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4219..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4219..CLGPID-O,zone cooling cmd
EBU3B.RM-4219..DPR-C,discharge air damper cmd
EBU3B.RM-4219..DMPR-POS,discharge air damper sensor
EBU3B.RM-4219..HTGPID-O,zone heating cmd
EBU3B.RM-4219..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4219..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4219..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4219..OCC-CMD,zone occupied cmd
EBU3B.RM-4219..RH-VLV,reheat valve cmd
EBU3B.RM-4219..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4219..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4219..COMMONSP,zone air temp sp
EBU3B.RM-4219..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4219..ZN-T,zone air temp sensor
EBU3B.RM-4220..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4220..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4220..CLGPID-O,zone cooling cmd
EBU3B.RM-4220..DPR-C,discharge air damper cmd
EBU3B.RM-4220..DMPR-POS,discharge air damper sensor
EBU3B.RM-4220..HTGPID-O,zone heating cmd
EBU3B.RM-4220..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4220..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4220..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4220..OCC-CMD,zone occupied cmd
EBU3B.RM-4220..RH-VLV,reheat valve cmd
EBU3B.RM-4220..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4220..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4220..COMMONSP,zone air temp sp
EBU3B.RM-4220..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4220..ZN-T,zone air temp sensor
EBU3B.RM-4223..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4223..CLGPID-O,zone cooling cmd
EBU3B.RM-4223..DPR-C,discharge air damper cmd
EBU3B.RM-4223..DMPR-POS,discharge air damper sensor
EBU3B.RM-4223..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4223..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4223..OCC-CMD,zone occupied cmd
EBU3B.RM-4223..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4223..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4223..COMMONSP,zone air temp sp
EBU3B.RM-4223..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4223..ZN-T,zone air temp sensor
EBU3B.RM-4226..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4226..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4226..CLGPID-O,zone cooling cmd
EBU3B.RM-4226..DPR-C,discharge air damper cmd
EBU3B.RM-4226..DMPR-POS,discharge air damper sensor
EBU3B.RM-4226..HTGPID-O,zone heating cmd
EBU3B.RM-4226..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4226..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4226..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4226..OCC-CMD,zone occupied cmd
EBU3B.RM-4226..RH-VLV,reheat valve cmd
EBU3B.RM-4226..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4226..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4226..COMMONSP,zone air temp sp
EBU3B.RM-4226..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4226..ZN-T,zone air temp sensor
EBU3B.RM-4230..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4230..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4230..CLGPID-O,zone cooling cmd
EBU3B.RM-4230..DPR-C,discharge air damper cmd
EBU3B.RM-4230..DMPR-POS,discharge air damper sensor
EBU3B.RM-4230..HTGPID-O,zone heating cmd
EBU3B.RM-4230..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4230..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4230..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4230..OCC-CMD,zone occupied cmd
EBU3B.RM-4230..RH-VLV,reheat valve cmd
EBU3B.RM-4230..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4230..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4230..COMMONSP,zone air temp sp
EBU3B.RM-4230..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4230..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4230..ZN-T,zone air temp sensor
EBU3B.RM-4231..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4231..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4231..CLGPID-O,zone cooling cmd
EBU3B.RM-4231..DPR-C,discharge air damper cmd
EBU3B.RM-4231..DMPR-POS,discharge air damper sensor
EBU3B.RM-4231..HTGPID-O,zone heating cmd
EBU3B.RM-4231..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4231..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4231..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4231..OCC-CMD,zone occupied cmd
EBU3B.RM-4231..RH-VLV,reheat valve cmd
EBU3B.RM-4231..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4231..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4231..COMMONSP,zone air temp sp
EBU3B.RM-4231..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4231..ZN-T,zone air temp sensor
EBU3B.RM-4232..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4232..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4232..CLGPID-O,zone cooling cmd
EBU3B.RM-4232..DPR-C,discharge air damper cmd
EBU3B.RM-4232..DMPR-POS,discharge air damper sensor
EBU3B.RM-4232..HTGPID-O,zone heating cmd
EBU3B.RM-4232..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4232..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4232..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4232..OCC-CMD,zone occupied cmd
EBU3B.RM-4232..RH-VLV,reheat valve cmd
EBU3B.RM-4232..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4232..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4232..COMMONSP,zone air temp sp
EBU3B.RM-4232..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4232..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4232..ZN-T,zone air temp sensor
EBU3B.RM-4236..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4236..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4236..CLGPID-O,zone cooling cmd
EBU3B.RM-4236..DPR-C,discharge air damper cmd
EBU3B.RM-4236..DMPR-POS,discharge air damper sensor
EBU3B.RM-4236..HTGPID-O,zone heating cmd
EBU3B.RM-4236..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4236..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4236..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4236..OCC-CMD,zone occupied cmd
EBU3B.RM-4236..RH-VLV,reheat valve cmd
EBU3B.RM-4236..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4236..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4236..COMMONSP,zone air temp sp
EBU3B.RM-4236..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4236..ZN-T,zone air temp sensor
EBU3B.RM-4240..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4240..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4240..CLGPID-O,zone cooling cmd
EBU3B.RM-4240..DPR-C,discharge air damper cmd
EBU3B.RM-4240..DMPR-POS,discharge air damper sensor
EBU3B.RM-4240..HTGPID-O,zone heating cmd
EBU3B.RM-4240..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4240..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4240..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4240..OCC-CMD,zone occupied cmd
EBU3B.RM-4240..RH-VLV,reheat valve cmd
EBU3B.RM-4240..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4240..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4240..COMMONSP,zone air temp sp
EBU3B.RM-4240..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4240..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4240..ZN-T,zone air temp sensor
EBU3B.RM-4242..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4242..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4242..CLGPID-O,zone cooling cmd
EBU3B.RM-4242..DPR-C,discharge air damper cmd
EBU3B.RM-4242..DMPR-POS,discharge air damper sensor
EBU3B.RM-4242..HTGPID-O,zone heating cmd
EBU3B.RM-4242..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4242..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4242..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4242..OCC-CMD,zone occupied cmd
EBU3B.RM-4242..RH-VLV,reheat valve cmd
EBU3B.RM-4242..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4242..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4242..COMMONSP,zone air temp sp
EBU3B.RM-4242..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4242..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4242..ZN-T,zone air temp sensor
EBU3B.RM-4246..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4246..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4246..CLGPID-O,zone cooling cmd
EBU3B.RM-4246..DPR-C,discharge air damper cmd
EBU3B.RM-4246..DMPR-POS,discharge air damper sensor
EBU3B.RM-4246..HTGPID-O,zone heating cmd
EBU3B.RM-4246..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4246..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4246..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4246..OCC-CMD,zone occupied cmd
EBU3B.RM-4246..RH-VLV,reheat valve cmd
EBU3B.RM-4246..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4246..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4246..COMMONSP,zone air temp sp
EBU3B.RM-4246..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4246..ZN-T,zone air temp sensor
EBU3B.RM-4250..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4250..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4250..CLGPID-O,zone cooling cmd
EBU3B.RM-4250..DPR-C,discharge air damper cmd
EBU3B.RM-4250..DMPR-POS,discharge air damper sensor
EBU3B.RM-4250..HTGPID-O,zone heating cmd
EBU3B.RM-4250..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4250..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4250..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4250..OCC-CMD,zone occupied cmd
EBU3B.RM-4250..RH-VLV,reheat valve cmd
EBU3B.RM-4250..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4250..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4250..COMMONSP,zone air temp sp
EBU3B.RM-4250..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4250..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4250..ZN-T,zone air temp sensor
EBU3B.RM-4252..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4252..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4252..CLGPID-O,zone cooling cmd
EBU3B.RM-4252..DPR-C,discharge air damper cmd
EBU3B.RM-4252..DMPR-POS,discharge air damper sensor
EBU3B.RM-4252..HTGPID-O,zone heating cmd
EBU3B.RM-4252..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-4252..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-4252..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-4252..OCC-CMD,zone occupied cmd
EBU3B.RM-4252..RH-VLV,reheat valve cmd
EBU3B.RM-4252..SUP-FLOW,discharge air flow sensor
EBU3B.RM-4252..SUPFLO-SP,discharge air flow sp
EBU3B.RM-4252..COMMONSP,zone air temp sp
EBU3B.RM-4252..T-OCC,zone thermostat occupied cmd
EBU3B.RM-4252..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-4252..ZN-T,zone air temp sensor
EBU3B.RM-4254..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-4254..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-4254..CLGPID-O,zone cooling cmd
EBU3B.RM-4254..DPR-C,discharge air damper cmd
EBU3B.RM-4254..DMPR-POS,discharge air damper sensor
EBU3B.RM-4254..HTGPID-O,zone heating cmd
EBU3B.RM-4254..CLGMAXFLO,discharge air flow max sp
