Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Static Pressure Setpoint,,supply air static pressure setpoint,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Static Pressure Sensor,,supply air static pressure sensor,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Static Pressure Increase Decrease Step,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature,,"Supply Air Temperature,Discharge Air Temperature Sensor,Supply Air Temperature Sensor",,,Measurement Property,,,Jason,,,Supply Air Temperature,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Dead Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Proportional Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Integral Time,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Max Discharge Air Temperature,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Min Discharge Air Temperature,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Max VFD Speed To Increase Static Pressure Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Min VFD Speed To Increase Static Pressure Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Setpoint Increase Decrease Step,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Underfloor Temperature Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air Temperature Sensor,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Temperature Sensor,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Reset Differential,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature Setpoint,,Supply Air Temperature Setpoint,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Temperature High Limit Alarm,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Temperature High Limit Alarm,,Supply Air Temperature High Limit Alarm,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air Filter,,,,,Equipment,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Flow,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Flow Sensor,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Flow,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Flow Sensor,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Min Air Flow,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Smoke Detected,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
